時,19歲以下,20-24歲,25-29歲,30-34歲,35-39歲,40-44歲,45-49歲,50-54歲,55-59歲,60歲以上
1,1,3,2,2,2,2,1,1,1,1
2,0,1,1,1,1,1,1,1,1,0
3,0,1,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,1,1,1,1,1,1
8,1,1,1,1,2,2,2,2,2,2
9,2,2,3,3,4,5,5,4,4,4
10,2,3,4,5,6,6,6,6,6,5
11,4,4,5,6,6,6,7,6,6,6
12,10,10,12,13,14,14,12,13,13,13
13,6,6,7,7,8,7,7,7,7,7
14,5,5,7,7,7,7,7,7,7,8
15,5,5,6,6,6,6,6,6,6,7
16,5,5,6,6,6,6,6,6,6,8
17,7,6,6,6,5,5,5,6,6,7
18,9,5,5,4,4,4,5,5,5,7
19,7,5,4,4,4,4,4,4,4,6
20,8,5,5,4,4,4,4,4,4,4
21,9,7,6,5,5,5,5,5,5,4
22,11,9,7,6,6,6,6,5,5,4
23,8,9,7,7,6,5,5,5,5,4
24,3,6,5,4,4,3,3,3,3,2
