地區,類別,2013,2014,2015,2016,2017,2018,2019
雙北,戲劇,3.77,3.46,4.16,3.66,3.76,4.31,3.58
雙北,音樂,1.97,2.27,1.79,2.28,2.54,2.38,2.53
雙北,舞蹈,0.75,1.17,0.74,0.53,0.81,0.64,0.59
雙北,親子,0.52,0.61,0.70,0.64,0.56,0.58,0.73
雙北,其他,0.37,0.36,0.20,0.20,0.33,0.22,0.28
北部,戲劇,0.23,0.17,0.20,0.32,0.23,0.22,0.19
北部,音樂,0.07,0.09,0.16,0.13,0.15,0.13,0.18
北部,舞蹈,0.02,0.05,0.05,0.03,0.03,0.05,0.04
北部,親子,0.10,0.13,0.09,0.08,0.16,0.16,0.14
北部,其他,0.04,0.03,0.03,0.03,0.02,0.05,0.00
中部,戲劇,0.32,0.54,0.35,0.71,1.08,0.94,1.03
中部,音樂,0.16,0.21,0.24,0.44,0.46,0.54,0.62
中部,舞蹈,0.10,0.07,0.09,0.09,0.18,0.24,0.19
中部,親子,0.14,0.17,0.14,0.15,0.20,0.14,0.17
中部,其他,0.06,0.10,0.08,0.08,0.12,0.10,0.15
南部,戲劇,0.73,0.86,0.83,0.84,0.73,0.72,1.22
南部,音樂,0.28,0.35,0.42,0.43,0.37,0.47,0.95
南部,舞蹈,0.20,0.18,0.20,0.11,0.17,0.15,0.25
南部,親子,0.11,0.20,0.16,0.16,0.16,0.16,0.23
南部,其他,0.18,0.10,0.12,0.07,0.10,0.09,0.18
東部,戲劇,0.02,0.02,0.02,0.01,0.02,0.02,0.02
東部,音樂,0.04,0.03,0.02,0.04,0.02,0.03,0.01
東部,舞蹈,0,0.02,0.01,0.01,0,0,0.01
東部,親子,0.03,0.02,0.02,0.02,0.01,0.01,0.02
東部,其他,0,0,0.02,0,0,0,0
