地區,類別,2013,2014,2015,2016,2017,2018,2019
雙北,戲劇,3.76535956,3.4593259,4.16187067,3.66083735,3.75774244,4.31091074,3.57614748
雙北,音樂,1.96624466,2.26651457,1.79120172,2.28187563,2.54057652,2.38091758,2.52852261
雙北,舞蹈,0.7473636,1.16805337,0.73614499,0.52678659,0.80878207,0.63773768,0.58642093
雙北,親子,0.52474356,0.60996616,0.69883689,0.63524844,0.55587744,0.58006469,0.72534824
雙北,其他,0.37386837,0.36084826,0.19883583,0.20201858,0.3293102,0.22196515,0.27536042
北部,戲劇,0.23272977,0.16651564,0.2048485,0.31858605,0.2276492,0.21514654,0.19029786
北部,音樂,0.06632406,0.08702571,0.15579115,0.12987046,0.14633148,0.13146725,0.18022958
北部,舞蹈,0.0186545,0.0484246,0.04735642,0.03046856,0.02886376,0.04719492,0.0377679
北部,親子,0.1006549,0.12525941,0.08650288,0.08485246,0.15712702,0.16059764,0.14213346
北部,其他,0.04175825,0.0279274,0.03202946,0.02723415,0.0239282,0.05328614,0
中部,戲劇,0.32131419,0.54377875,0.35249204,0.7131929,1.08437499,0.9446033,1.03402514
中部,音樂,0.16101857,0.20667044,0.2442534,0.44194571,0.45573211,0.5366651,0.61828001
中部,舞蹈,0.10080767,0.0697845,0.08982813,0.08600785,0.18490789,0.2377756,0.19014162
中部,親子,0.14062337,0.1710459,0.1358692,0.14525029,0.20107718,0.14157626,0.17022757
中部,其他,0.0622924,0.10303948,0.0751004,0.080539,0.12159984,0.10144503,0.15311457
南部,戲劇,0.73327949,0.85838961,0.83345768,0.84059283,0.72530309,0.71983815,1.21621834
南部,音樂,0.27634204,0.35438518,0.42330453,0.42541941,0.3742843,0.46722786,0.95239843
南部,舞蹈,0.19734828,0.17568139,0.19965419,0.10710975,0.16719205,0.14832109,0.2537542
南部,親子,0.10791833,0.19952228,0.15905655,0.15677387,0.15549101,0.16488967,0.23187977
南部,其他,0.17562925,0.0969515,0.12118953,0.07466495,0.0978455,0.08661504,0.17837784
東部,戲劇,0.02,0.02,0.02,0.01,0.02,0.02,0.02
東部,音樂,0.04,0.03,0.02,0.04,0.02,0.03,0.01
東部,舞蹈,0,0.02,0.01,0.01,0,0,0.01
東部,親子,0.03,0.02,0.02,0.02,0.01,0.01,0.02
東部,其他,0,0,0.02,0,0,0,0
