地區,類別,2013,2014,2015,2016,2017,2018,2019
雙北,戲劇,44.8149,40.6217,41.5365,39.1853,39.9045,41.7519,39.8377
雙北,音樂,38.202,42.4634,33.9203,40.0444,40.4042,40.0093,40.651
雙北,舞蹈,10.4634,12.0317,9.9325,7.8298,9.6656,8.1271,8.4916
雙北,親子,11.8068,12.5365,12.5478,11.5624,10.7161,11.7099,12.9394
雙北,其他,2.5155,3.2708,3.3346,2.8052,3.43,2.7884,3.4746
北部,戲劇,3.0199,2.5045,2.7288,3.4742,2.694,2.797,2.9177
北部,音樂,2.0825,2.5819,4.6745,3.7348,3.8257,4.0657,3.8779
北部,舞蹈,0.6282,1.2818,1.0828,0.8903,0.9535,1.3416,1.0731
北部,親子,2.4171,2.7791,2.1539,2.1002,3.8731,3.8088,3.1371
北部,其他,0.4047,0.2125,0.4071,0.2493,0.1802,0.4324,0
中部,戲劇,4.2906,6.4872,4.4854,8.1616,10.357,9.5929,10.595
中部,音樂,5.0442,6.0102,6.9275,7.8498,9.9098,10.5381,11.2549
中部,舞蹈,2.24,1.7149,2.4409,2.0812,3.4383,3.4787,3.4819
中部,親子,3.7327,4.0219,3.3355,3.5472,4.373,3.4857,3.8238
中部,其他,0.7224,0.9914,0.5712,0.7683,1.7793,1.3941,1.7989
南部,戲劇,8.9697,11.4892,11.0467,10.0022,8.2334,8.867,13.7691
南部,音樂,7.0529,9.302,10.0957,9.7576,8.7077,10.334,17.361
南部,舞蹈,4.2121,4.2054,4.325,3.1263,4.0469,3.2981,4.3221
南部,親子,3.3245,4.8662,4.252,4.2422,3.6473,4.0683,4.3286
南部,其他,2.6941,0.8631,1.3772,0.7205,0.7542,0.8364,2.067
東部,戲劇,0.7,0.6,0.6,0.4,0.8,0.5,0.7
東部,音樂,1.4,1.4,0.9,1.3,0.7,0.9,0.6
東部,舞蹈,0,0.5,0.4,0.2,0.2,0,0.2
東部,親子,0.7,0.6,0.8,0.6,0.4,0.3,0.5
東部,其他,0,0,0.4,0,0,0,0
